Cod Linha;Empresa;Setor;Nome Linha;Mercado;KM;CLASSE;orgão;TIPO;VIAGENS;Capacidade;PREFIXO;Cód Empresa;Grupo Cnx;KM CLASSE;Validação;Frequência;Caracteristica;Gestão;Check
2179;1001;MARUI;GALEAO (RJ) - CHARITAS (RJ);RIO-NITEROI URBANO;46;URBANO;DETRO/RJ;URBANO              ;1;0;0;2;GALEAO (RJ) - CHARITAS (RJ);46;Demais Mercados;Normal;Seccionado;Regional Rio;
2590;1001;MARUI;CHARITAS (RJ) - GAVEA (RJ) (VIA S.BARBARA);RIO-NITEROI SELETIVO;40;SELETIVO            ;DETRO/RJ;SELETIVO            ;1;0;0;2;CHARITAS (RJ) - GAVEA (RJ) (VIA S.BARBARA);40;Demais Mercados;Normal;Seccionado;Regional Rio;
2594;1001;MARUI;CHARITAS (RJ) - IPANEMA (RJ);RIO-NITEROI URBANO;42;URBANO;DETRO/RJ;URBANO              ;1;0;0;2;CHARITAS (RJ) - IPANEMA (RJ);42;Demais Mercados;Normal;Seccionado;Regional Rio;
2595;1001;MARUI;CHARITAS (RJ) - GAVEA (RJ) (VIA S.BARBARA);RIO-NITEROI URBANO;41;URBANO;DETRO/RJ;URBANO              ;1;0;0;2;CHARITAS (RJ) - GAVEA (RJ) (VIA S.BARBARA);41;Demais Mercados;Normal;Seccionado;Regional Rio;
2598;1001;MARUI;CASTELO (RJ) - CHARITAS LIGHT (RJ);RIO-NITEROI SELETIVO;0;SELETIVO            ;DETRO/RJ;SELETIVO            ;0;0;0;2;CASTELO (RJ) - CHARITAS LIGHT (RJ);0;Demais Mercados;Normal;Seccionado;Regional Rio;
2609;1001;MARUI;ITAIPU (RJ) - CHARITAS INTEGRACAO (RJ);RIO-NITEROI SELETIVO;0;SELETIVO            ;DETRO/RJ;SELETIVO            ;0;0;0;2;ITAIPU (RJ) - CHARITAS INTEGRACAO (RJ);0;Demais Mercados;Normal;Seccionado;Regional Rio;
2612;1001;MARUI;PIRATININGA (RJ) - CASTELO (RJ);RIO-NITEROI SELETIVO;115;CONVENCIONAL;DETRO/RJ;SELETIVO            ;1;0;0;2;PIRATININGA (RJ) - CASTELO (RJ);115;Demais Mercados;Normal;Seccionado;Regional Rio;
2613;1001;MARUI;ITAIPU (RJ) - CASTELO (RJ);RIO-NITEROI SELETIVO;0;CONVENCIONAL;DETRO/RJ;SELETIVO            ;0;0;2613;2;ITAIPU (RJ) - CASTELO (RJ);0;Demais Mercados;Normal;Seccionado;Regional Rio;
2615;1001;MARUI;GALEAO (RJ) - CHARITAS (RJ);RIO-NITEROI SELETIVO;115;CONVENCIONAL;DETRO/RJ;SELETIVO            ;1;0;0;2;GALEAO (RJ) - CHARITAS (RJ);115;Demais Mercados;Normal;Seccionado;Regional Rio;
2617;1001;MARUI;GALEAO (RJ) - CHARITAS (RJ);RIO-NITEROI URBANO;53;URBANO;DETRO/RJ;URBANO              ;1;0;0;2;GALEAO (RJ) - CHARITAS (RJ);53;Demais Mercados;Normal;Seccionado;Regional Rio;
2628;1001;MARUI;CHARITAS (RJ) - GALEÃO LIGHT (RJ);RIO-NITEROI SELETIVO;115;CONVENCIONAL;DETRO/RJ;SELETIVO            ;1;0;0;2;CHARITAS (RJ) - GALEÃO LIGHT (RJ);115;Demais Mercados;Normal;Seccionado;Regional Rio;
2809;1001;MARUI;CHARITAS (RJ) - GAVEA V.LAPA (RJ);RIO-NITEROI URBANO;0;URBANO;DETRO/RJ;URBANO              ;0;0;0;2;CHARITAS (RJ) - GAVEA V.LAPA (RJ);0;Demais Mercados;Normal;Seccionado;Regional Rio;
2817;1001;MARUI;CHARITAS (RJ) - IPANEMA (RJ);RIO-NITEROI SELETIVO;0;SELETIVO            ;DETRO/RJ;SELETIVO            ;0;0;0;2;CHARITAS (RJ) - IPANEMA (RJ);0;Demais Mercados;Normal;Seccionado;Regional Rio;
2837;1001;MARUI;CHARITAS (RJ) - GAVEA V.LAPA (RJ);RIO-NITEROI SELETIVO;0;SELETIVO            ;DETRO/RJ;SELETIVO            ;0;0;0;2;CHARITAS (RJ) - GAVEA V.LAPA (RJ);0;Demais Mercados;Normal;Seccionado;Regional Rio;
2865;1001;MARUI;GALEÃO (RJ) - CHARITAS (RJ) (VIA CID UNIVER);RIO-NITEROI SELETIVO;0;SELETIVO            ;DETRO/RJ;SELETIVO            ;0;0;0;2;GALEÃO (RJ) - CHARITAS (RJ) (VIA CID UNIVER);0;Demais Mercados;Normal;Seccionado;Regional Rio;
2800;1001;MARUI;NITEROI (RJ) - SAQUAREMA (RJ)  VIA JACONE-URBANO;NITEROI - LAGOS URB;88;URBANO;DETRO/RJ;URBANO;1;99;2800;2;NITEROI (RJ) - SAQUAREMA (RJ)  VIA JACONE-URBANO;88;;;;Regional Rio;
70095;COMETA;CURITIBA;SAO PAULO (SP) - CURITIBA (PR) - VIA OSASCO;SAO PAULO - CURITIBA;420;CONVENCIONAL;ANTT;RODOVIARIO          ;1;46;SPPR0041050;7;SAO PAULO (SP) - CURITIBA (PR) - VIA OSASCO;420;;;;Regional SP - ANTT;420
2042;1001;CAMPOS;RIO DE JANEIRO (RJ) - FAROL S.TOME (RJ) (VIA NITEROI-CAMPOS);RIO - CAMPOS E NORTE FLUM.;0;1 CLASSE DD;DETRO/RJ;RODOVIARIO          ;0;6;2042;2;RIO DE JANEIRO (RJ) - FAROL S.TOME (RJ) (VIA NITEROI-CAMPOS);0;Vedetes;Normal;Seccionado;Regional Rio;279,8
2051;1001;CABO FRIO;RIO DE JANEIRO (RJ) - ARRAIAL DO CABO (RJ);RIO - REG.LAGOS;0;LEITO DD;DETRO/RJ;RODOVIARIO;0;6;2051;2;RIO DE JANEIRO (RJ) - ARRAIAL DO CABO (RJ);0;;;;Regional Rio;167,3
2054;1001;CABO FRIO;RIO DE JANEIRO (RJ) - BUZIOS (RJ);RIO - REG.LAGOS;0;LEITO DD;DETRO/RJ;RODOVIARIO          ;0;6;2054;2;RIO DE JANEIRO (RJ) - BUZIOS (RJ);0;;;;Regional Rio;175
2057;1001;CAMPOS;RIO DE JANEIRO (RJ) - FAROL S.TOME (RJ);RIO - CAMPOS E NORTE FLUM.;0;LEITO DD;DETRO/RJ;RODOVIARIO          ;0;6;2057;2;RIO DE JANEIRO (RJ) - FAROL S.TOME (RJ);0;Vedetes;Normal;Seccionado;Regional Rio;281,19
2060;1001;FRIBURGO;RIO DE JANEIRO (RJ) - NOVA FRIBURGO (RJ);RIO - FRIB/REG.SERRANA;0;LEITO DD;DETRO/RJ;RODOVIARIO          ;0;6;2060;2;RIO DE JANEIRO (RJ) - NOVA FRIBURGO (RJ);0;Demais Mercados;Normal;Seccionado;Regional Rio;140
2157;1001;SAO PAULO;NITEROI (RJ) - MACAE (RJ) (CNX SP);SP - NIT/CPS/MAC/FRIB/CBF;0;LEITO DD;DETRO/RJ;RODOVIARIO;0;6;2157;2;NITEROI (RJ) - MACAE (RJ) (CNX SP);0;Demais Mercados;Normal;Seccionado;Regional Rio;180,06
2218;1001;ITAPERUNA;PIRAPETINGA (MG) - RIO DE JANEIRO (RJ);RIO - PIRAPETINGA/ITAPERUNA;0;1 CLASSE DD;ANTT;RODOVIARIO          ;0;6;MGRJ0010028;2;PIRAPETINGA (MG) - RIO DE JANEIRO (RJ);0;Demais Mercados;Normal;Seccionado;Regional Rio;237,2
2233;1001;ITAPERUNA;RIO JANEIRO (RJ) - S.J.CALCADO/CAMPOS (ES);RIO - CAMPOS E NORTE FLUM.;0;CAMA;ANTT;RODOVIARIO          ;0;6;RJES0010012;2;RIO JANEIRO (RJ) - S.J.CALCADO/CAMPOS (ES);0;Vedetes;Normal;Seccionado;Regional Rio;396,5
2235;1001;ITAPERUNA;RIO DE JANEIRO (RJ) - SAO JOSE DO CALCADO (ES) VIA BR-101;RIO - CAMPOS E NORTE FLUM.;0;CAMA;ANTT;RODOVIARIO          ;0;6;RJES0010012;2;RIO DE JANEIRO (RJ) - SAO JOSE DO CALCADO (ES) VIA BR-101;0;Vedetes;Normal;Seccionado;Regional Rio;396,5
2405;1001;CAMPOS;RIO DE JANEIRO (RJ) - CAMPOS (RJ) (VIA NITEROI);RIO - CAMPOS E NORTE FLUM.;0;1 CLASSE DD;DETRO/RJ;RODOVIARIO          ;0;6;2405;2;RIO DE JANEIRO (RJ) - CAMPOS (RJ) (VIA NITEROI);0;Vedetes;Normal;Seccionado;Regional Rio;278
2409;1001;CAMPOS;RIO DE JANEIRO (RJ) - CAMPOS (RJ);RIO - CAMPOS E NORTE FLUM.;0;1 CLASSE DD;DETRO/RJ;RODOVIARIO          ;0;6;2409;2;RIO DE JANEIRO (RJ) - CAMPOS (RJ);0;Vedetes;Normal;Direto;Regional Rio;275
2462;1001;SAO PAULO;NITEROI (RJ) - MACAE (RJ) (CNX SP);SP - NIT/CPS/MAC/FRIB/CBF;0;1 CLASSE DD;DETRO/RJ;RODOVIARIO          ;0;6;2462;2;NITEROI (RJ) - MACAE (RJ) (CNX SP);0;Demais Mercados;Normal;Seccionado;Regional Rio;183,3
2497;1001;SAO PAULO;NITEROI (RJ) - CAMPOS (RJ);SP - NIT/CPS/MAC/FRIB/CBF;0;1 CLASSE DD;DETRO/RJ;RODOVIARIO          ;0;6;2497;2;NITEROI (RJ) - CAMPOS (RJ);0;Demais Mercados;Normal;Seccionado;Regional Rio;267
2501;1001;SAO PAULO;NITEROI (RJ) - SAO PAULO (SP);SP - NIT/CPS/MAC/FRIB/CBF;0;1 CLASSE DD;ANTT;RODOVIARIO          ;0;6;7009541;2;NITEROI (RJ) - SAO PAULO (SP);0;Demais Mercados;Normal;Seccionado;Regional Rio;445,6
2514;1001;SAO PAULO;NITEROI (RJ) - SAO PAULO (SP);SP - NIT/CPS/MAC/FRIB/CBF;0;1 CLASSE DD;ANTT;RODOVIARIO          ;0;6;7009541;2;NITEROI (RJ) - SAO PAULO (SP);0;Demais Mercados;Normal;Seccionado;Regional Rio;445,6
2538;1001;SAO PAULO;NITEROI (RJ) - SAO PAULO (SP);SP - NIT/CPS/MAC/FRIB/CBF;0;1 CLASSE DD;ANTT;RODOVIARIO          ;0;6;7009541;2;NITEROI (RJ) - SAO PAULO (SP);0;Demais Mercados;Normal;Seccionado;Regional Rio;445,6
2558;1001;SAO PAULO;NOVA FRIBURGO (RJ) - SAO PAULO (SP);SP - NIT/CPS/MAC/FRIB/CBF;0;1 CLASSE DD;ANTT;RODOVIARIO          ;0;6;7009641;2;NOVA FRIBURGO (RJ) - SAO PAULO (SP);0;Demais Mercados;Normal;Seccionado;Regional Rio;558,61
2561;1001;SAO PAULO;CABO FRIO (RJ) - SAO PAULO (SP);SP - NIT/CPS/MAC/FRIB/CBF;0;1 CLASSE DD;ANTT;RODOVIARIO          ;0;6;7009341;2;CABO FRIO (RJ) - SAO PAULO (SP);0;Demais Mercados;Normal;Seccionado;Regional Rio;582
2592;1001;CAMPOS;RIO DE JANEIRO (RJ) - FAROL S.TOME (RJ) (VIA NITEROI-CAMPOS);RIO-NITEROI SELETIVO;0;1 CLASSE DD;DETRO/RJ;RODOVIARIO          ;0;6;2592;2;RIO DE JANEIRO (RJ) - FAROL S.TOME (RJ) (VIA NITEROI-CAMPOS);0;Vedetes;Normal;Seccionado;Regional Rio;279,8
2764;1001;SAO PAULO;CABO FRIO (RJ) - SAO PAULO (SP);SP - NIT/CPS/MAC/FRIB/CBF;0;1 CLASSE DD;ANTT;RODOVIARIO          ;0;6;7009341;2;CABO FRIO (RJ) - SAO PAULO (SP);0;Demais Mercados;Normal;Seccionado;Regional Rio;582
2773;1001;ITAPERUNA;PIRAPETINGA (MG) - RIO DE JANEIRO (RJ);RIO - PIRAPETINGA/ITAPERUNA;0;1 CLASSE DD;ANTT;RODOVIARIO          ;0;6;MGRJ0010027;2;PIRAPETINGA (MG) - RIO DE JANEIRO (RJ);0;Demais Mercados;Normal;Seccionado;Regional Rio;226,3
2774;1001;ITAPERUNA;PIRAPETINGA (MG) - ITAPERUNA (RJ);RIO - PIRAPETINGA/ITAPERUNA;0;1 CLASSE DD;ANTT;RODOVIARIO          ;0;6;MGRJ0010004;2;PIRAPETINGA (MG) - ITAPERUNA (RJ);0;Demais Mercados;Normal;Seccionado;Regional Rio;99,5
2823;1001;CAMPOS;RIO DE JANEIRO (RJ) - FAROL S.TOME (RJ) (VIA NITEROI-CAMPOS);RIO - CAMPOS E NORTE FLUM.;0;1 CLASSE DD;DETRO/RJ;RODOVIARIO          ;0;6;2823;2;RIO DE JANEIRO (RJ) - FAROL S.TOME (RJ) (VIA NITEROI-CAMPOS);0;Vedetes;Normal;Seccionado;Regional Rio;280,3
2838;1001;SAO PAULO;SAO PAULO (SP) - RIO DE JANEIRO (RJ);SAO PAULO - RIO DE JANEIRO;0;CAMA;ANTT;RODOVIARIO          ;0;6;SPRJ0010030;2;SAO PAULO (SP) - RIO DE JANEIRO (RJ);0;Vedetes;Normal;Direto;Regional Rio;433,8
2840;1001;SAO PAULO;SAO PAULO (SP) - RIO DE JANEIRO (RJ);SAO PAULO - RIO DE JANEIRO;0;CAMA;ANTT;RODOVIARIO          ;0;6;SPRJ0010030;2;SAO PAULO (SP) - RIO DE JANEIRO (RJ);0;Vedetes;Normal;Direto;Regional Rio;433,8
2883;1001;SAO PAULO;CABO FRIO (RJ) - SAO PAULO (SP);SP - NIT/CPS/MAC/FRIB/CBF;0;CAMA;ANTT;RODOVIARIO          ;0;6;RJSP0010009;2;CABO FRIO (RJ) - SAO PAULO (SP);0;Demais Mercados;Normal;Seccionado;Regional Rio;582
2914;1001;MACAE;RIO DE JANEIRO (RJ) - MACAE (RJ) (VIA MANILHA);RIO - MACAE QUISSAMA;0;1 CLASSE DD - VAI DIRETO;DETRO/RJ;RODOVIARIO          ;0;6;2914;2;RIO DE JANEIRO (RJ) - MACAE (RJ) (VIA MANILHA);0;Vedetes;Normal;Direto;Regional Rio;184
2918;1001;CAMPOS;RIO DE JANEIRO (RJ) - CAMPOS (RJ) (VIA NITEROI);RIO - CAMPOS E NORTE FLUM.;0;1 CLASSE DD;DETRO/RJ;RODOVIARIO          ;0;6;2918;2;RIO DE JANEIRO (RJ) - CAMPOS (RJ) (VIA NITEROI);0;Vedetes;Normal;Seccionado;Regional Rio;278
2921;1001;MACAE;MACAE - RIO DE JANEIRO (VIA VILA VERDE/CASIMIRO DE ABREU);RIO - MACAE QUISSAMA;0;1 CLASSE DD;DETRO/RJ;RODOVIARIO          ;0;6;2921;2;MACAE - RIO DE JANEIRO (VIA VILA VERDE/CASIMIRO DE ABREU);0;Vedetes;Normal;Seccionado;Regional Rio;183,3
2929;1001;SAO PAULO;RIO DE JANEIRO CPG (RJ) - SAO PAULO (SP);SP - BAIXADA E CPO GRN;0;CAMA;ANTT;RODOVIARIO          ;0;6;RJSP0010013;2;RIO DE JANEIRO CPG (RJ) - SAO PAULO (SP);0;Demais Mercados;Normal;Direto;Regional Rio;433,8
3019;WEMOBI;WEMOBI;MARINGA (PR) - SAO PAULO (SP);WEMOBI;0;DREAM;ANTT;RODOVIARIO;0;6;9032851;3;MARINGA (PR) - SAO PAULO (SP);0;Demais Mercados;Normal;Seccionado;WEMOBI;627,01
4830;EXPRESSO;EXPRESSO DO SUL;SAO PAULO (SP) - RIO DE JANEIRO (RJ);SAO PAULO - RIO DE JANEIRO;0;CAMA;ANTT;RODOVIARIO          ;0;6;SPRJ0036008;4;SAO PAULO (SP) - RIO DE JANEIRO (RJ);0;Vedetes;Normal;Direto;Regional SP - ANTT;433,8
7211;COMETA;JUIZ DE FORA;SAO PAULO (SP) - JUIZ DE FORA (MG);SAO PAULO - SUL DE MINAS;0;CAMA;ANTT;RODOVIARIO          ;0;6;SPMG0041023;7;SAO PAULO (SP) - JUIZ DE FORA (MG);0;Demais Mercados;Normal;Seccionado;Regional SP - ANTT;513,7
7251;COMETA;SAO JOSE DO RIO PRETO;SAO PAULO (SP) - SAO JOSE DO RIO PRETO (SP);SAO PAULO - SAO JOSE DO RIO PRETO;0;CAMA;ARTESP;RODOVIARIO          ;0;6;1384A-1;7;SAO PAULO (SP) - SAO JOSE DO RIO PRETO (SP);0;Vedetes;Normal;Seccionado;Regional SP - Interior;435
7258;COMETA;RIBEIRAO PRETO;SAO PAULO (SP) - RIBEIRAO PRETO (SP);SAO PAULO - RIBEIRAO PRETO;0;CAMA;ARTESP;RODOVIARIO          ;0;6;6376L-1;7;SAO PAULO (SP) - RIBEIRAO PRETO (SP);0;Vedetes;Normal;Seccionado;Regional SP - Interior;319
7273;COMETA;FRANCA;SAO PAULO (SP) - FRANCA (SP);SAO PAULO - FRANCA;0;CAMA;ARTESP;RODOVIARIO          ;0;6;8,28E+01;7;SAO PAULO (SP) - FRANCA (SP);0;Vedetes;Normal;Seccionado;Regional SP - Interior;418
7287;COMETA;JUIZ DE FORA;JUIZ DE FORA (MG) - SAO PAULO (SP);SAO PAULO - SUL DE MINAS;0;CAMA;ANTT;RODOVIARIO          ;0;6;MGSP0041035;7;JUIZ DE FORA (MG) - SAO PAULO (SP);0;Demais Mercados;Normal;Seccionado;Regional SP - ANTT;491,19
7292;COMETA;BELO HORIZONTE;SAO PAULO (SP) - BELO HORIZONTE (MG) VIA CAMPINAS;SAO PAULO - BELO HORIZONTE;0;CAMA;ANTT;RODOVIARIO          ;0;6;8005751;7;SAO PAULO (SP) - BELO HORIZONTE (MG) VIA CAMPINAS;0;Vedetes;Normal;Seccionado;Regional SP - ANTT;689
7296;COMETA;VOLTA REDONDA;VOLTA REDONDA (RJ) - SAO PAULO (SP);SAO PAULO - VALE DO PARAIBA;0;LEITO DD;ANTT;RODOVIARIO          ;0;6;7007441;7;VOLTA REDONDA (RJ) - SAO PAULO (SP);0;Demais Mercados;Normal;Seccionado;Regional SP - ANTT;316,9
7368;COMETA;VOLTA REDONDA;VOLTA REDONDA (RJ) - SAO PAULO (SP);SAO PAULO - VALE DO PARAIBA;0;CAMA;ANTT;RODOVIARIO          ;0;6;RJSP0041011;7;VOLTA REDONDA (RJ) - SAO PAULO (SP);0;Demais Mercados;Normal;Seccionado;Regional SP - ANTT;316,9
7372;COMETA;JUIZ DE FORA;JUIZ DE FORA (MG) - SAO PAULO (SP);SAO PAULO - SUL DE MINAS ;0;CAMA;ANTT;RODOVIARIO          ;0;6;MGSP0041035;7;JUIZ DE FORA (MG) - SAO PAULO (SP);0;Demais Mercados;Normal;Seccionado;Regional SP - ANTT;491,19
7415;COMETA;JUIZ DE FORA;JUIZ DE FORA (MG) - SAO VICENTE (SP);SAO PAULO - SUL DE MINAS;0;CAMA;ANTT;RODOVIARIO          ;0;6;MGSP0041057;7;JUIZ DE FORA (MG) - SAO VICENTE (SP);0;Demais Mercados;Normal;Seccionado;Regional SP - ANTT;558,59
7417;COMETA;JUIZ DE FORA;JUIZ DE FORA (MG) - SAO VICENTE (SP);SAO PAULO - SUL DE MINAS;0;CAMA;ANTT;RODOVIARIO          ;0;6;MGSP0041057;7;JUIZ DE FORA (MG) - SAO VICENTE (SP);0;Demais Mercados;Normal;Seccionado;Regional SP - ANTT;558,59
7436;COMETA;BELO HORIZONTE;BELO HORIZONTE (MG) - CURITIBA (PR);SAO PAULO - BELO HORIZONTE;0;CAMA;ANTT;RODOVIARIO          ;0;6;6030451;7;BELO HORIZONTE (MG) - CURITIBA (PR);0;Vedetes;Normal;Seccionado;Regional SP - ANTT;1015,96
7438;COMETA;CAMPINAS;CAMPINAS (SP) - RIO DE JANEIRO (RJ);INTERIOR SP MG - RIO DE JANEIRO;0;CAMA;ANTT;RODOVIARIO          ;0;6;8004451;7;CAMPINAS (SP) - RIO DE JANEIRO (RJ);0;Demais Mercados;Normal;Seccionado;Regional SP - ANTT;503,7
7692;COMETA;BELO HORIZONTE;CAMPINAS (SP) - BELO HORIZONTE (MG) (VIA CONTAGEM);SAO PAULO - BELO HORIZONTE;0;CAMA;ANTT;RODOVIARIO          ;0;6;8020751;7;CAMPINAS (SP) - BELO HORIZONTE (MG) (VIA CONTAGEM);0;Vedetes;Normal;Seccionado;Regional SP - ANTT;525,7
7827;COMETA;CAMPINAS;CAMPINAS (SP) - RIO DE JANEIRO (RJ);INTERIOR SP MG - RIO DE JANEIRO;0;CAMA;ANTT;RODOVIARIO          ;0;6;SPRJ0041037;7;CAMPINAS (SP) - RIO DE JANEIRO (RJ);0;Demais Mercados;Normal;Seccionado;Regional SP - ANTT;503,7
70043;COMETA;RIBEIRAO PRETO;SAO PAULO (SP) - RIBEIRAO PRETO (SP);SAO PAULO - RIBEIRAO PRETO;0;CAMA;ARTESP;RODOVIARIO          ;0;6;6376L-1;7;SAO PAULO (SP) - RIBEIRAO PRETO (SP);0;Vedetes;Normal;Seccionado;Regional SP - Interior;319
2013;1001;SAO PAULO;MARICA (RJ) - SAO PAULO (SP);SP - NIT/CPS/MAC/FRIB/CBF;0;CAMA;ANTT;RODOVIARIO          ;0;8;RJSP0010032;2;MARICA (RJ) - SAO PAULO (SP);0;Demais Mercados;Normal;Seccionado;Regional Rio;445,6
2015;1001;SAO PAULO;MARICA (RJ) - SAO PAULO (SP);SP - NIT/CPS/MAC/FRIB/CBF;0;CAMA;ANTT;RODOVIARIO          ;0;8;RJSP0010032;2;MARICA (RJ) - SAO PAULO (SP);0;Demais Mercados;Normal;Seccionado;Regional Rio;445,6
2029;1001;CAMPOS;RIO DE JANEIRO (RJ) - CAMPOS (RJ);RIO - CAMPOS E NORTE FLUM.;0;1 CLASSE DD - VAI DIRETO;DETRO/RJ;RODOVIARIO;0;8;2029;2;RIO DE JANEIRO (RJ) - CAMPOS (RJ);0;Vedetes;Normal;Direto;Regional Rio;269
2044;1001;SAO PAULO;SAO PAULO (SP) - DUQUE DE CAXIAS (RJ);SP - BAIXADA e CPO GRN;0;CAMA;ANTT;RODOVIARIO          ;0;8;8035251;2;SAO PAULO (SP) - DUQUE DE CAXIAS (RJ);0;Demais Mercados;Normal;Seccionado;Regional Rio;398,09
2121;1001;SAO PAULO;SAO PAULO (SP) - RIO DE JANEIRO (RJ) VIA D. CAXIAS;SP - BAIXADA E CPO GRN;0;CAMA;ANTT;RODOVIARIO          ;0;8;8008251;2;SAO PAULO (SP) - RIO DE JANEIRO (RJ) VIA D. CAXIAS;0;Demais Mercados;Normal;Seccionado;Regional Rio;424,99
2123;1001;SAO PAULO;DUQUE DE CAXIAS (RJ) - SAO PAULO (SP);SP - BAIXADA E CPO GRN;0;CAMA;ANTT;RODOVIARIO          ;0;8;SPRJ0010020;2;DUQUE DE CAXIAS (RJ) - SAO PAULO (SP);0;Demais Mercados;Normal;Seccionado;Regional Rio;398,09
2125;1001;SAO PAULO;RIO DE JANEIRO (RJ) - SAO BERNARDO DO CAMPO (SP);SAO PAULO - RIO DE JANEIRO;0;CAMA;ANTT;RODOVIARIO          ;0;8;7010251;2;RIO DE JANEIRO (RJ) - SAO BERNARDO DO CAMPO (SP);0;Vedetes;Normal;Seccionado;Regional Rio;467,03
2128;1001;SAO PAULO;RIO DE JANEIRO (RJ) - OSASCO (SP);SAO PAULO - RIO DE JANEIRO;0;CAMA;ANTT;RODOVIARIO          ;0;8;RJSP0010014;2;RIO DE JANEIRO (RJ) - OSASCO (SP);0;Vedetes;Normal;Seccionado;Regional Rio;447,9
2134;1001;SAO PAULO;RIO DE JANEIRO (RJ) - SAO PAULO (SP) - VAI DIRETO;SAO PAULO - RIO DE JANEIRO;0;CAMA - VAI DIRETO;ANTT;RODOVIARIO          ;0;8;RJSP0010034;2;RIO DE JANEIRO (RJ) - SAO PAULO (SP) - VAI DIRETO;0;Vedetes;Normal;Direto;Regional Rio;418,1
2149;1001;SAO PAULO;NITEROI (RJ) - SAO PAULO (SP) (VIA NOVO RIO);SP - NIT/CPS/MAC/FRIB/CBF;0;CAMA;ANTT;RODOVIARIO          ;0;8;RJSP0010017;2;NITEROI (RJ) - SAO PAULO (SP) (VIA NOVO RIO);0;Demais Mercados;Normal;Seccionado;Regional Rio;445,6
2159;1001;SAO PAULO;NITEROI (RJ) - CAMPOS (RJ);SP - NIT/CPS/MAC/FRIB/CBF;0;LEITO DD;DETRO/RJ;RODOVIARIO;0;8;2159;2;NITEROI (RJ) - CAMPOS (RJ);0;Demais Mercados;Normal;Seccionado;Regional Rio;265,11
2161;1001;SAO PAULO;NITEROI (RJ) - SAO PAULO (SP) - VIA NOVO RIO;SP - NIT/CPS/MAC/FRIB/CBF;0;CAMA;ANTT;RODOVIARIO          ;0;8;RJSP0010017;2;NITEROI (RJ) - SAO PAULO (SP) - VIA NOVO RIO;0;Demais Mercados;Normal;Seccionado;Regional Rio;445,6
2163;1001;SAO PAULO;CABO FRIO (RJ) - SAO PAULO (SP);SP - NIT/CPS/MAC/FRIB/CBF;0;CAMA;ANTT;RODOVIARIO          ;0;8;RJSP0010009;2;CABO FRIO (RJ) - SAO PAULO (SP);0;Demais Mercados;Normal;Seccionado;Regional Rio;582
2174;1001;SAO PAULO;NITEROI (RJ) - CAMPOS (RJ);SP - NIT/CPS/MAC/FRIB/CBF;0;LEITO DD;DETRO/RJ;RODOVIARIO;0;8;2174;2;NITEROI (RJ) - CAMPOS (RJ);0;Demais Mercados;Normal;Seccionado;Regional Rio;265,11
2192;1001;MACAE;RIO DAS OSTRAS (RJ) - RIO DE JANEIRO (RJ) (VIA LAGOS-NIT);RIO - MACAE QUISSAMA;0;LEITO DD;DETRO/RJ;RODOVIARIO          ;0;8;2192;2;RIO DAS OSTRAS (RJ) - RIO DE JANEIRO (RJ) (VIA LAGOS-NIT);0;Vedetes;Normal;Seccionado;Regional Rio;179,2
2556;1001;SAO PAULO;SAO PAULO (SP) - FLORIANOPOLIS (SC);SP - FLORIANOPOLIS;0;CAMA;ANTT;RODOVIARIO          ;0;8;8007951;2;SAO PAULO (SP) - FLORIANOPOLIS (SC);0;Demais Mercados;Normal;Seccionado;Regional Rio;715
2566;1001;SAO PAULO;SAO PAULO (SP) - RIO DE JANEIRO (RJ);SAO PAULO - RIO DE JANEIRO;0;CAMA;ANTT;RODOVIARIO          ;0;8;SPRJ0010030;2;SAO PAULO (SP) - RIO DE JANEIRO (RJ);0;Vedetes;Normal;Direto;Regional Rio;433,8
2797;1001;SAO PAULO;CABO FRIO (RJ) - SAO PAULO (SP);SP - NIT/CPS/MAC/FRIB/CBF;0;LEITO DD;ANTT;RODOVIARIO;0;8;7180740;2;CABO FRIO (RJ) - SAO PAULO (SP);0;Demais Mercados;Normal;Direto;Regional Rio;557,16
2877;1001;SAO PAULO;SAO PAULO (SP) - FLORIANOPOLIS (SC);SP - FLORIANOPOLIS;0;CAMA;ANTT;RODOVIARIO          ;0;8;SPSC0010002;2;SAO PAULO (SP) - FLORIANOPOLIS (SC);0;Demais Mercados;Normal;Seccionado;Regional Rio;715
2879;1001;SAO PAULO;SAO PAULO (SP) -FLORIANOPOLIS (SC);SP - FLORIANOPOLIS;0;CAMA;ANTT;RODOVIARIO          ;0;8;SPSC0010002;2;SAO PAULO (SP) -FLORIANOPOLIS (SC);0;Demais Mercados;Normal;Seccionado;Regional Rio;691,85
2881;1001;SAO PAULO;CABO FRIO (RJ) - SAO PAULO (SP);SP - NIT/CPS/MAC/FRIB/CBF;0;CAMA;ANTT;RODOVIARIO          ;0;8;RJSP0010009;2;CABO FRIO (RJ) - SAO PAULO (SP);0;Demais Mercados;Normal;Seccionado;Regional Rio;582
2889;1001;SAO PAULO;RIO DE JANEIRO (RJ) - SAO PAULO (SP);SP - BAIXADA E CPO GRN;0;CAMA;ANTT;RODOVIARIO          ;0;8;RJSP0010013;2;RIO DE JANEIRO (RJ) - SAO PAULO (SP);0;Demais Mercados;Normal;Direto;Regional Rio;433,8
