Cod Linha;Empresa;Setor;Nome Linha;Mercado;KM;CLASSE;orgão;TIPO;VIAGENS;Capacidade;PREFIXO;Cód Empresa;Grupo Cnx;KM CLASSE;Validação;Frequência;Caracteristica;Gestão;Check
3432;CATARINENSE;FLORIANOPOLIS;ARARANGUA (SC) - SAO PAULO (SP);SP - LITORAL SC;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;16001841;3;ARARANGUA (SC) - SAO PAULO (SP);0;Vedetes;Normal;Seccionado;Regional Sul;914,8
3434;CATARINENSE;FLORIANOPOLIS;ARARANGUA (SC) - SAO PAULO (SP);SP - LITORAL SC;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;16007141;3;ARARANGUA (SC) - SAO PAULO (SP);0;Vedetes;Normal;Seccionado;Regional Sul;910,85
3438;CATARINENSE;BLUMENAU;BRUSQUE (SC) - SAO PAULO (SP);SP - INTERIOR SC ;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;16000241;3;BRUSQUE (SC) - SAO PAULO (SP);0;Demais Mercados;Normal;Seccionado;Regional Sul;617,7
3440;CATARINENSE;LAGES;LAGES (SC) - SAO PAULO (SP);SP - INTERIOR SC ;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;16000641;3;LAGES (SC) - SAO PAULO (SP);0;Demais Mercados;Normal;Seccionado;Regional Sul;784,4
3442;CATARINENSE;RIO DO SUL;RIO DO SUL (SC) - SAO PAULO (SP);SP - INTERIOR SC ;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;16007741;3;RIO DO SUL (SC) - SAO PAULO (SP);0;Demais Mercados;Normal;Seccionado;Regional Sul;823,6
3446;CATARINENSE;CURITIBA;CURITIBA (PR) - FLORIANOPOLIS (SC) VIA ITJ-CMB;CURITIBA - LITORAL SC;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;9003241;3;CURITIBA (PR) - FLORIANOPOLIS (SC) VIA ITJ-CMB;0;Vedetes;Normal;Seccionado;Regional Sul;298,15
3454;CATARINENSE;CURITIBA;CURITIBA (PR) - PORTO ALEGRE (RS);CURITIBA - PORTO ALEGRE;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;9004341;3;CURITIBA (PR) - PORTO ALEGRE (RS);0;Demais Mercados;Normal;Seccionado;Regional Sul;749,55
3456;CATARINENSE;CURITIBA;CURITIBA (PR) - PORTO ALEGRE (RS);CURITIBA - PORTO ALEGRE;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;9021841;3;CURITIBA (PR) - PORTO ALEGRE (RS);0;Demais Mercados;Normal;Seccionado;Regional Sul;749,55
3460;CATARINENSE;FOZ DO IGUACU;FLORIANOPOLIS (SC) - FOZ DO IGUACU (PR);SC - FOZ;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;16002141;3;FLORIANOPOLIS (SC) - FOZ DO IGUACU (PR);0;Demais Mercados;Normal;Seccionado;Regional Sul;970,4
3464;CATARINENSE;CURITIBA;CURITIBA (PR) - FLORIANOPOLIS (SC);CURITIBA - LITORAL SC;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;PRSC0001057;3;CURITIBA (PR) - FLORIANOPOLIS (SC);0;Vedetes;Normal;Seccionado;Regional Sul;302,7
3466;CATARINENSE;CURITIBA;CURITIBA (PR) - SANTOS (SP);CURITIBA - ABC ;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;PRSP0001007;3;CURITIBA (PR) - SANTOS (SP);0;Demais Mercados;Normal;Seccionado;Regional Sul;423,2
3468;CATARINENSE;CURITIBA;CURITIBA (PR) - FLORIANOPOLIS (SC) VIA CMB-TJC;CURITIBA - LITORAL SC;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;9035941;3;CURITIBA (PR) - FLORIANOPOLIS (SC) VIA CMB-TJC;0;Vedetes;Normal;Seccionado;Regional Sul;307,35
3470;CATARINENSE;CURITIBA;CURITIBA (PR) - FLORIANOPOLIS (SC);CURITIBA - LITORAL SC;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;9035741;3;CURITIBA (PR) - FLORIANOPOLIS (SC);0;Vedetes;Normal;Seccionado;Regional Sul;298,15
3472;CATARINENSE;CURITIBA;CURITIBA (PR) - FLORIANOPOLIS (SC);CURITIBA - LITORAL SC;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;9035641;3;CURITIBA (PR) - FLORIANOPOLIS (SC);0;Vedetes;Normal;Seccionado;Regional Sul;298,15
3474;CATARINENSE;CURITIBA;CURITIBA (PR) - SAO CAETANO DO SUL (SP);CURITIBA - ABC ;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;PRSP0001009;3;CURITIBA (PR) - SAO CAETANO DO SUL (SP);0;Demais Mercados;Normal;Seccionado;Regional Sul;483,79
3542;CATARINENSE;SÃO PAULO;RIO DE JANEIRO (RJ) - SOROCABA (SP);SOROCABA - RIO ;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;RJSP0001004;3;RIO DE JANEIRO (RJ) - SOROCABA (SP);0;Vedetes;Normal;Seccionado;Regional Sul;519,29
3552;CATARINENSE;FOZ DO IGUACU;LONDRINA (PR) - SAO PAULO (SP);SAO PAULO - MARINGA;0;CAMA;ANTT;RODOVIARIO          ;0;9;9032751;3;LONDRINA (PR) - SAO PAULO (SP);0;Demais Mercados;Normal;Seccionado;Regional Sul;531,5
3556;CATARINENSE;FOZ DO IGUACU;SAO PAULO (SP) - FOZ DO IGUACU (PR);FOZ - SAO PAULO;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;8019441;3;SAO PAULO (SP) - FOZ DO IGUACU (PR);0;Demais Mercados;Normal;Seccionado;Regional Sul;1006,05
3558;CATARINENSE;FOZ DO IGUACU;GUARAPUAVA (PR) - SAO PAULO (SP);FOZ - RIO DE JANEIRO;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;9033341;3;GUARAPUAVA (PR) - SAO PAULO (SP);0;Demais Mercados;Normal;Seccionado;Regional Sul;716,21
3562;CATARINENSE;FOZ DO IGUACU;FOZ DO IGUACU (PR) - RIO DE JANEIRO (RJ);FOZ - RIO DE JANEIRO;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;PRRJ0001045;3;FOZ DO IGUACU (PR) - RIO DE JANEIRO (RJ);0;Demais Mercados;Normal;Seccionado;Regional Sul;1430,5
3564;CATARINENSE;MARINGA;MARINGA (PR) - SAO PAULO (SP);SAO PAULO - MARINGA;0;CAMA;ANTT;RODOVIARIO          ;0;9;9037451;3;MARINGA (PR) - SAO PAULO (SP);0;Demais Mercados;Normal;Seccionado;Regional Sul;627,01
3595;CATARINENSE;FLORIANOPOLIS;FLORIANOPOLIS (SC) - SANTOS (SP);ABC LITORAL - SC ;0;LEITO DD;ANTT;RODOVIARIO          ;0;9;16008541;3;FLORIANOPOLIS (SC) - SANTOS (SP);0;Demais Mercados;Normal;Seccionado;Regional Sul;645,05
